Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,10n,,,C1,,,220,,,
2,1,10n,,,C2,,,242,,,
3,1,D1N914,,,D8,,,319,,,
4,1,D1N914,,,D9,,,325,,,
5,1,D1N914,,,D10,,,332,,,
6,1,D1N914,,,D11,,,336,,,
7,1,TIP122,,,Q3,,,311,,,
8,1,TIP127,,,Q4,,,315,,,
9,1,61.9k,,,R1,,,224,,,
10,1,1.37k,,,R2,,,238,,,
11,1,1k,,,R3,,,103,,,
12,1,48.7k,,,R4,,,106,,,
13,1,1k,,,R5,,,120,,,
14,1,48.7k,,,R6,,,123,,,
15,1,1k,,,R7,,,254,,,
16,1,1k,,,R8,,,259,,,
17,1,5k,,,R9,,,155,,,
18,1,1k,,,R10,,,181,,,
19,1,1k,,,R11,,,184,,,
20,1,5,,,R16,,,187,,,
21,1,TL072/301/TI,,,U1,,,93,,,
22,1,TL072/301/TI,,,U2,,,"111,138",,,
23,1,TL072/301/TI,,,U3,,,"227,245",,,
24,1,TL072/301/TI,,,U4,,,405,,,
